review,rating
This case is just beautiful. I can't think of anything I don't like about it. I used a smaller-sized GTX 750 which allows you to see everything inside. A bigger video card blocks your view (probably by design).,1.0
My husband purchased these because he likes movies and I am a reader.  I hear no residual sound and the headphones seem to be quite comfortable.  I highly recommend them!,1.0
"Very disappointed.  This item worked a time or two, but never consistently. I replaced the battery and it still wouldn't work.  I followed company instructions to make it work.  Don't waste your money.",0.0
"...first of all, this Lightning cable does exactly what it's supposed to do: it moves data (and electricity) to the Apple device it's connected to (in my case, an iPod Nano (7th generation).

With this cable, you get a little more.

First, you get more length. At 6 feet, it will give you flexibility for where to place your Lighting device at a twice the distance of a standard Lightning cable.

Second, the USB terminal on this cable includes a permanently mounted velco cable management strap, answering the needs of neat freaks.

While you can buy cheaper Lightning cables, the extra length and cable management capability offer a good value at this price.

Select with confidence.

Note: this item provided for review purposes.",1.0
"Very bad, slow, flakey software. Very slow. I was replacing a Buffalo NAS I've had for many years and this has been a complete step down. I have almost zero trust in this thing at all.",0.0
"When it worked it was fine (used for my media center PC in living room) but died under a year. Range was good, kept it 15 to 20 ft from PC. There is no on/off switch on keyboard, so you never know if it is turned on or off (the mouse has a switch).

No lights or indicators to tell you if it is connected, low battery, or anything. So when mine stopped working I had  no way of knowing if was turned off, not connected or the batteries are dead.  Pretty much just kept trying stuff to figure out why it's wasn't working- trial and error.  Ultimately I realized none of those things were the problem, and instead it was just a piece of junk.

Just not worth the aggravation. Lack of an on/off switch on the keyboard alone rules this one out.",0.0
"What's not to like. Insert in your phone, do a little set-up and you can keep decades of information on your phone.",1.0
"The remote basically gives you access to everything you need on your G-Box.  However, its longevity leaves much to be desired.  They feel cheap.  The buttons are clunky and just don't feel responsive when you press them.  I have 2 G-Box Midnight boxes.  One of the remotes is very unresponsive.  The arrow keys and the power button are only responsive 75% of the time.  The other completely died in less than a year from very light use.  I purchased secondary remotes to do most of the actions once the box is turned on.  It is poorly manufactured.  I have a G-Box Q.  While it doesn't have all of the buttons that this one does, but it is ""WAY"" more responsive, feels better, and controls just enough of what I need it to when I don't want to fish for my secondary remote.  I purchased this remote exclusively for turning my boxes on and off.  Hopefully, it lasts longer than a year.",0.0
"Display looks muted/faded - contrast not crisp at all. Speakers are overwhelmingly weak and tinny. Browsing is sluggish, even when doing simple tasks such as email. I'm a big YouTube watcher and will often have 4 or 5 tabs open with different videos loaded; this chromebook can't even handle two tabs with videos. It freezes indefinitely, forcing me to close it... it won't restart if I try to press the power button. Even when I'm just surfing news articles, the tab navigation is frustratingly sluggish - every time I go away from a tab and come back to that tab, the page looks blank (white) and takes 2-8 seconds to reload, as if it's refreshing the content. Absolutely unacceptably annoying.  On top of all that, the video playback quality is poor and I have no idea why.  I hate this product and want to return it but the company (America's Distributor) won't take it.  Wish I never bought this.",0.0
"This monitor is a great buy, good color, great size - great for movies! The only negative is that the height isn't adjustable but that is nothing that a stack of books can't solve.",1.0
